Transition,Date,Q_V_c,Q_V_c_error,,T_p,T_p_error,delta_V,delta_V_error,,W,W_error,M_V_c,M_V_c_error,,S_p,S_p_error,V_r_low,V_r_upp
"(2,1)",2020-04-07,59.26,0.53,,0.28,0.1,5.94,1.44,,2.06,0.4,,,,,,,
"(2,1)",2020-04-07,67.5,0.53,,0.14,0.1,5.94,1.44,,1.05,0.4,,,,,,,
"(8,7)",2020-01-08,59.83,0.35,,0.23,0.03,3.43,0.86,,2.57,0.2,,,,,,,
"(8,7)",2020-03-20,60,0.35,,0.27,0.03,10.51,0.81,,1.76,0.13,,,,,,,
"(8,7)",2020-04-01,60.55,0.4,,0.3,0.07,7.89,1.06,,2.06,0.23,,,,,,,
"(8,7)",2020-04-07,60.55,,<,0.23,,,,<,0.76,,,,,,,,
"(9,8)",2020-01-08,59.7,0.79,,0.3,0.1,11.16,1.75,,2.43,0.33,54.5,0.08,,0.19,0.06,54.1,54.9
"(9,8)",2020-03-20,59.77,0.21,,0.27,0.07,8.08,0.47,,2.4,0.13,54.45,0.02,,0.27,0.03,53.9,55.1
"(9,8)",2020-04-01,59.77,,<,0.14,,,,<,0.46,,54.45,,<,0.07,,,
"(9,8)",2020-04-07,59.77,,<,0.5,,,,<,1.64,,54.45,,<,0.25,,,
"(1,1)",2020-01-08,60.03,0.04,,8.16,0.43,5.24,0.12,,45.55,1.00  1.7 0.2,,,,,,,
"(1,1)",2020-03-20,60.29,0.14,,9.62,0.43,7.08,0.14,,72.43,0.40  1.5 0.2,,,,,,,
"(1,1)",2020-04-01,61.52,0.03,,6.49,0.3,5.49,0.09,,42.99,0.37  0.9 0.2,,,,,,,
"(1,1)",2020-04-07,60.39,0.04,,20.08,1.9,4.63,0.08,,48.9,2.26  0.9 0.4,,,,,,,
"(1,1)",2020-04-07,67.98,0.03,,22.81,1.9,5.97,0.1,,144.95,2.13,,,,,,,
"(2,2)",2020-01-08,50.57,0.14,,1,0.17,6.13,0.14,,4.63,0.1,,,,,,,
"(2,2)",2020-01-08,60.41,0.14,,3.46,0.17,5.81,0.14,,27.81,0.30  2.5 0.3,,,,,,,
"(2,2)",2020-03-20,49.4,0.14,,0.93,0.13,10.55,0.14,,10.52,0.13,,,,,,,
"(2,2)",2020-03-20,60.67,0.14,,4.6,0.13,6.24,0.14,,40.44,0.13  2.9 0.2,,,,,,,
"(2,2)",2020-04-01,51.23,0.14,,0.7,0.1,3.12,0.14,,2.26,0.07,,,,,,,
"(2,2)",2020-04-01,61.53,0.14,,2.73,0.1,5.29,0.14,,17.32,0.07  1.2 0.4,,,,,,,
"(2,2)",2020-04-07,51.37,0.14,,1.53,0.33,2.72,0.14,,4.46,0.17,,,,,,,
"(2,2)",2020-04-07,60.42,0.14,,3.16,0.33,5.19,0.14,,17.42,0.17  1.7 0.7,,,,,,,
"(2,2)",2020-04-07,67.54,0.14,,4.03,0.33,5.6,0.14,,29.84,0.17,,,,,,,
